return_yr,n_pink
1925,149
1926,363
1927,127
1928,338
1929,154
1930,311
1931,203
1932,282
1933,193
1934,363
1935,371
1936,290
1937,361
1938,331
1939,436
1940,256
1941,439
1942,318
1943,416
1944,237
1945,177
1946,136
1947,223
1948,124
1949,296
1950,101
1951,252
1952,198
1953,337
1954,180
1955,294
1956,261
1957,362
1958,187
1959,240
1960,125
1961,182
1962,163
1963,224
1964,146
1965,205
1966,161
1967,175
1968,172
1969,221
1970,132
1971,203
1972,126
1973,159
1974,134
1975,228
1976,199
1977,279
1978,234
1979,320
1980,244
1981,298
1982,223
1983,431
1984,309
1985,326
1986,262
1987,270
1988,212
1989,364
1990,303
1991,486
1992,277
1993,399
1994,454
1995,435
1996,424
1997,402
1998,444
1999,501
2000,382
2001,402
2002,383
2003,466
2004,361
2005,594
2006,344
2007,549
2008,328
2009,657
2010,407
2011,654
2012,436
2013,578
2014,356
2015,549
2016,432
2017,513
2018,701
2019,639
2020,313
2021,797
