year,system,n,avg_POH_length,length_SD,avg_fec,fec_SD
1987,Chilliwack-Vedder,49,NA,NA,1774,245
1987,Harrison,50,NA,NA,1853,283
1987,Seton,47,NA,NA,1850,238
1987,Thompson,7,NA,NA,2025,182
1989,Chilliwack-Vedder,50,44.8,1.8,1615,195
1989,Harrison,50,45.5,1.6,1773,236
1989,Seton,51,43.5,2,1643,205
1989,Thompson,50,44.1,1.6,1615,194
1991,Chilliwack-Vedder,50,44.8,1.8,1615,8
1991,Harrison,50,45.5,1.6,1552,266
1991,Seton,51,43.5,2,1564,241
1991,Thompson,50,44.1,1.6,1521,227
1993,Fraser,100,NA,NA,1426,315
1993,Harrison,50,45.5,1.6,NA,NA
1995,Fraser,94,43,1.7,1576,324
1995,Harrison,50,45.5,1.6,NA,NA
1997,Fraser,99,43.2,1.8,1647,316
1997,Harrison,50,45.5,1.6,NA,NA
1999,Fraser,99,43,1.8,1435,225
1999,Harrison,50,45.5,1.6,NA,NA
2001,Fraser,100,44.6,2,1707,242
2001,Harrison,50,45.5,1.6,NA,NA
